Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
A,Q1/2020,"16,967,584.00","13,579,558.00","980,000.00","3,388,026.00","911,059.00","834,973.00","96,697.00","76,086.00",934,0,"490,377.00","-99,547.00","1,106,788.00","1,497,618.00",-8.64,-0.17,26.26,0.1,8.35,4.01,1.06,2.04,0.27,8.29,0.19,0.19,"1,898.11",19.42,18.8,3.16,115.45,"1,801.46",5.01,2020Q1
A,2019,"15,279,322.01","11,876,154.17","980,000.00","3,403,167.84","2,988,566.23","2,998,989.86","59,514.06","-10,423.64","-280,605.45",-0.29,"843,451.14","-514,357.55","-349,083.92","-19,990.33",-8.33,-0.07,28.57,-9.39,-0.35,3.49,-0.03,1.84,0.05,7.93,0.2,0.18,"2,077.57",17.8,20.51,3.08,118.68,"1,979.40",4.49,2019
A,2018,"14,297,304.83","10,965,245.49","980,000.00","3,332,059.34","4,038,878.00","3,745,752.67","368,055.57","293,125.33","30,785.31",0.03,"272,618.57","-119,272.03","-359,145.77","-205,799.22",0.92,2.11,37.13,0.76,7.26,3.29,1.29,2.21,0.03,13.11,0.29,0.22,"1,693.59",52.24,6.99,6.84,53.4,"1,647.18",4.29,2018
A,2017,"13,509,798.93","10,169,327.29","980,000.00","3,340,471.63","5,057,090.66","4,654,615.61","479,204.06","402,475.05","97,693.30",0.1,"947,933.09","-21,345.23","-956,343.95","-29,756.08",2.94,2.98,33.41,1.93,7.96,3.04,1.55,4.75,0.15,15,0.37,0.29,"1,264.17",74.25,4.92,11.17,32.67,"1,236.42",4.04,2017
A,2016,"13,515,775.24","10,201,309.54","980,000.00","3,314,465.71","4,724,972.73","4,147,005.12","637,437.74","577,967.62","263,338.82",0.27,"206,894.48","-77,437.43","-113,789.92","15,667.13",8.22,4.38,34.17,5.57,12.23,3.08,2.44,2.07,0.06,9.8,0.36,0.27,"1,331.84",124.95,2.92,11.19,32.62,"1,302.13",4.08,2016
A,2015,"12,861,190.46","9,770,865.97","980,000.00","3,090,324.49","5,453,697.85","5,015,916.59","487,913.83","437,781.26","216,688.99",0.22,"-2,138.34","-3,572.79","90,622.76","84,911.63",7.27,3.53,25.61,3.97,8.03,3.16,2.63,2.44,0.07,9.68,0.44,0.39,943.45,170.27,2.14,15.91,22.94,922.65,4.16,2015
All,Q2/2019,"6,679,372.00","4,983,468.00","560,000.00","1,695,885.00","839,583.00","674,269.00","179,700.00","165,314.00","116,010.00",0.23,"-71,939.00","-110,778.00","162,085.00","-20,632.00",22.77,8.24,40.77,13.82,19.69,2.94,7.36,1.19,0.15,31.9,0.43,0.43,854.73,8.06,45.3,4.7,77.7,822.34,3.94,2019Q2
All,Q3/2019,"6,644,524.00","4,819,321.00","560,000.00","1,825,184.00","647,441.00","466,595.00","190,516.00","180,846.00","129,299.00",0.23,"367,232.00","-292,066.00","-148,425.00","-73,259.00",23.5,9.22,25.6,19.97,27.93,2.64,12.86,1.31,0.1,33.29,0.44,0.42,873.78,16.17,22.57,4.07,89.76,806.59,3.64,2019Q3
All,Q4/2019,"7,631,619.86","5,651,597.95","560,000.00","1,980,004.79","578,833.96","376,042.10","212,872.42","202,791.86","158,723.31",0.29,"354,197.22","-602,902.97","351,669.75","102,964.00",36.41,10.2,23.3,27.42,35.03,2.85,186.01,1.3,0.18,35.87,0.43,0.39,944.72,17.41,20.96,3.52,103.67,862.01,3.85,2019Q4
All,Q1/2020,"8,287,217.00","6,192,950.00","560,000.00","2,094,250.00","678,775.00","498,094.00","196,249.00","180,681.00","113,105.00",0.2,"-423,456.00","132,864.00","309,291.00","18,699.00",34.9,10.08,42.38,16.66,26.62,2.96,4.76,1.32,0.13,35.79,0.38,0.34,"1,087.62",14.59,25.01,2.56,142.83,969.81,3.96,2020Q1
